basepk,topic,category
651483,enforcement of Chinese immigration restrictions,"Justice, Constitution, and Indigenous Affairs"
651436,immigration policy and population growth,"Justice, Constitution, and Indigenous Affairs"
651466,immigration department staffing and salary expenditures,Government and Parliamentary Affairs
651408,agricultural self-sufficiency and economic living costs,Agriculture and Food Policy
651372,immigration and economic assimilation,"Justice, Constitution, and Indigenous Affairs"
651343,northern Ontario settlement and fire hazards,Agriculture and Food Policy
651415,diversified farming practices,Agriculture and Food Policy
651187,proposal for an elective Senate,Government and Parliamentary Affairs
651502,Chinese immigration restrictions,"Justice, Constitution, and Indigenous Affairs"
651438,opposition to immigrant assistance,"Justice, Constitution, and Indigenous Affairs"
651357,immigration policy and national development,"Justice, Constitution, and Indigenous Affairs"
651544,Anglo-Japanese immigration agreement,"Justice, Constitution, and Indigenous Affairs"
651452,International Labour Conference conventions and recommendations,Social Welfare and Labour
651367,impact of immigration on domestic competition,"Justice, Constitution, and Indigenous Affairs"
651427,government funding of immigration associations,Government and Parliamentary Affairs
651401,tariff policy and immigration,International Trade and Tariffs
651376,agricultural productivity and immigration policy,Agriculture and Food Policy
651454,International Labour Conference draft conventions,Social Welfare and Labour
651403,encouragement of agricultural and artisan immigration,Agriculture and Food Policy
651374,economic comparison of farmers and business owners,Public Finance and Taxation
651505,chinese immigration and fraudulent claims,"Justice, Constitution, and Indigenous Affairs"
651575,Japanese immigration and the gentlemen's agreement,"Justice, Constitution, and Indigenous Affairs"
651419,provincial and federal immigration agency coordination,Natural Resources and Intergovernmental Relations
651510,Chinese immigration administration and judicial oaths,"Justice, Constitution, and Indigenous Affairs"
651571,Japanese immigration and trade treaty provisions,International Trade and Tariffs
651456,Canadian representation at International Labour Office meetings,Social Welfare and Labour
651442,railway construction in the Peace river district,Transportation and Communications
651448,parliamentary procedure regarding appropriation estimates,Government and Parliamentary Affairs
651554,Japanese immigration restrictions,"Justice, Constitution, and Indigenous Affairs"
651555,illegal japanese immigration to canada,"Justice, Constitution, and Indigenous Affairs"
651434,government grants for immigration organizations,Government and Parliamentary Affairs
651586,promotion of canadian immigration exhibits,Government and Parliamentary Affairs
651578,Japanese immigration and trade treaty exclusion,International Trade and Tariffs
651603,exhibition branch administrative salaries,Government and Parliamentary Affairs
651707,parliamentary procedure and information disclosure,Government and Parliamentary Affairs
651580,disallowance of British Columbia anti-Japanese legislation,Natural Resources and Intergovernmental Relations
651563,Japanese immigration agreement compliance,"Justice, Constitution, and Indigenous Affairs"
651585,government funding for international trade exhibitions,International Trade and Tariffs
651676,immigration department budget oversight,Public Finance and Taxation
651726,restructuring of Canadian Press Limited,Transportation and Communications
651610,repatriation assistance for distressed Canadians abroad,"Justice, Constitution, and Indigenous Affairs"
651731,amendments to the Canadian Press Limited charter,Transportation and Communications
651747,promotion of Canadian agricultural exhibitions in the United States,Agriculture and Food Policy
651772,promotion of Canadian agricultural immigration at fairs,Agriculture and Food Policy
651199,senate reform and elective upper house,Government and Parliamentary Affairs
651798,advertising expenditures for immigration recruitment,Public Finance and Taxation
651737,Empire Settlement Act immigration grants,"Justice, Constitution, and Indigenous Affairs"
651570,Japanese immigration restriction and trade policy,International Trade and Tariffs
651881,British overseas settlement and immigration policy,"Justice, Constitution, and Indigenous Affairs"
651771,advertising Canada at winter resorts for immigration,Government and Parliamentary Affairs
651846,oversight of British child immigration agencies,"Justice, Constitution, and Indigenous Affairs"
651874,government-assisted immigration schemes,"Justice, Constitution, and Indigenous Affairs"
651884,British immigration and settlement schemes,"Justice, Constitution, and Indigenous Affairs"
651807,promotion of Canadian agricultural exhibitions,Agriculture and Food Policy
651841,child immigration and home inspection policies,"Justice, Constitution, and Indigenous Affairs"
651849,child immigration from Great Britain,"Justice, Constitution, and Indigenous Affairs"
651847,child immigration and home inspection,"Justice, Constitution, and Indigenous Affairs"
651851,placement of juvenile immigrants in foster homes,"Justice, Constitution, and Indigenous Affairs"
651896,recruitment of domestic servants from overseas,Social Welfare and Labour
651836,british child immigration scheme,"Justice, Constitution, and Indigenous Affairs"
651863,assisted immigration schemes and comparative immigrant statistics,"Justice, Constitution, and Indigenous Affairs"
651892,government-assisted immigrant settlement schemes,"Justice, Constitution, and Indigenous Affairs"
651899,living conditions for female immigrants on trains,"Justice, Constitution, and Indigenous Affairs"
651858,assisted British immigration schemes,"Justice, Constitution, and Indigenous Affairs"
652022,investigation of wartime property damage claims,Veterans' and Military Affairs
651905,government immigration policy and domestic servant recruitment,"Justice, Constitution, and Indigenous Affairs"
651919,funding for the Canada Colonization Association,"Justice, Constitution, and Indigenous Affairs"
