topic,category,error
freedom of information and government paper production,Government & Electoral Affairs,
resignation of member of parliament,Parliamentary Procedure,
supply business and opposition motions,Parliamentary Procedure,
procedural reform and government information,Government & Electoral Affairs,
freedom of information and government documents,Government & Electoral Affairs,
civil service advice and document classification,Government & Electoral Affairs,
extension of Statutory Instruments Committee mandate,Parliamentary Procedure,
government transparency and public awareness,Government & Electoral Affairs,
disclosure of government documents,Government & Electoral Affairs,
government secrecy and access to information,Government & Electoral Affairs,
Anti-Inflation Board report on cost of living,Economy & Public Finance,
unemployment in Cape Breton,Economy & Public Finance,
urban affairs housing programs,Social Policy,
housing and commuter rail programs,"Sectoral Policy: Resources, Agriculture & Transport",
public health measures for nomadic populations,Social Policy,
penitentiary hostage incident policy review,"Justice, Rights & Immigration",
federal disaster assistance for Quebec floods,"Sectoral Policy: Resources, Agriculture & Transport",
order of business and deferral of divisions,Parliamentary Procedure,
broadcasting industry and Bill C-58,Trade & Foreign Affairs,
Canadian broadcasters and advertising revenue,Trade & Foreign Affairs,
Canadian broadcasting ratings in Toronto,Trade & Foreign Affairs,
KVOS broadcasting station tax revenue,Trade & Foreign Affairs,
broadcasting local content and capital flow,Trade & Foreign Affairs,
profits of Canadian and US television stations,Trade & Foreign Affairs,
KVOS revenue contribution and Canadian broadcasters,Trade & Foreign Affairs,
CRTC discrimination against distant signals,Trade & Foreign Affairs,
Canadian broadcasting and cultural endeavours,Trade & Foreign Affairs,
Heritage Day holiday bill,Parliamentary Procedure,
anti-inflation act appeal procedures,Economy & Public Finance,
food price freeze,Economy & Public Finance,
Air Canada executive appointment and Estey report,Government & Electoral Affairs,
competition policy and Anti-Inflation Board,Economy & Public Finance,
food distribution sector price controls,Economy & Public Finance,
federal-provincial health services discussions,Social Policy,
native housing starts acceleration,Social Policy,
pensions for prisoners of war,Social Policy,
Guatemala aid program restructuring,Trade & Foreign Affairs,
Standing Order 26 application for Irving strike,Parliamentary Procedure,
disclosure of employee travel expenses,Government & Electoral Affairs,
national parks and historic sites development,"Sectoral Policy: Resources, Agriculture & Transport",
motion for House to take time off,Parliamentary Procedure,
taxation exemptions for American enterprises,Taxation,
KVOS cross-border broadcasting regulation,Trade & Foreign Affairs,
Bill C-58 television pricing practices,Trade & Foreign Affairs,
radio and television stations in southern Manitoba,Trade & Foreign Affairs,
cultural policy and non-Canadian publications,Trade & Foreign Affairs,
Canadian magazine publishing industry,Trade & Foreign Affairs,
Bill C-58 and magazine advertising revenue,Trade & Foreign Affairs,
Bill C-58 and foreign magazine profitability,Trade & Foreign Affairs,
Canadian aid program to Cuba,Trade & Foreign Affairs,
processing of pension applications,Social Policy,
pilot licences and air safety,"Sectoral Policy: Resources, Agriculture & Transport",
Anti-Inflation Board appeals procedure,Economy & Public Finance,
federal government assistance to Newfoundland,Constitutional & Intergovernmental Relations,
aerospace industry restructuring and lay-offs,"Sectoral Policy: Resources, Agriculture & Transport",
helicopter aid to Guatemala,Trade & Foreign Affairs,
union suspension and judicial injunction,"Justice, Rights & Immigration",
orders for return procedure,Parliamentary Procedure,
leave of the House for orders for return,Parliamentary Procedure,
use of Standing Order 26 for legislation,Parliamentary Procedure,
crop insurance program,"Sectoral Policy: Resources, Agriculture & Transport",
anti-inflation guidelines for employee compensation,Economy & Public Finance,
new regional psychiatric centre in Dartmouth,Social Policy,
Anti-Inflation Board appeal procedures,Economy & Public Finance,
Anti-Inflation Board powers and appeals,Economy & Public Finance,
employer liability for inflation,Economy & Public Finance,
dairy farmers milk powder surplus,"Sectoral Policy: Resources, Agriculture & Transport",
Canada-US fisheries jurisdiction,Trade & Foreign Affairs,
fisheries treaty at Law of the Sea conference,Trade & Foreign Affairs,
provincial agreement on export tax,Constitutional & Intergovernmental Relations,
NATO discussions in Europe,Trade & Foreign Affairs,
accommodation for Revenue Canada and Public Service Appeals Branch,Government & Electoral Affairs,
DREE assistance for New Brunswick highway construction,"Sectoral Policy: Resources, Agriculture & Transport",
Standing Order 26 application for urgent debate,Parliamentary Procedure,
ruling on debate procedure,Parliamentary Procedure,
federal expenditure growth and control,Economy & Public Finance,
ministerial statements and questioning,Parliamentary Procedure,
Anti-Inflation Board appeal function,Economy & Public Finance,
Canadian Labour Congress response to legislation,Economy & Public Finance,
invitation for labour to suggest improvements to legislation,Economy & Public Finance,
collective bargaining and selective controls,Economy & Public Finance,
wage settlements and collective bargaining,Economy & Public Finance,
anti-inflation program co-operation,Economy & Public Finance,
inflation and the labour movement,Economy & Public Finance,
Canada Labour Relations Council's tripartite nature,Government & Electoral Affairs,
Anti-Inflation Board interpretation and appeals,Economy & Public Finance,
CLC withdrawal from labour relations boards,Government & Electoral Affairs,
duration of wage and price controls,Economy & Public Finance,
hypocrisy regarding collective bargaining legislation,Economy & Public Finance,
Anti-Inflation Board and polarization,Economy & Public Finance,
collective bargaining and inflation control,Economy & Public Finance,
wage and price controls and union recognition,Economy & Public Finance,
employer recognition of unions,Government & Electoral Affairs,
labour union recognition and government relations,Government & Electoral Affairs,
collective bargaining and adversary system,Economy & Public Finance,
collective bargaining and right to appeal,Economy & Public Finance,
right of appeal in Bill C-73,Economy & Public Finance,
NDP's use of Standing Order 26,Parliamentary Procedure,
adjournment motion on labour congress co-operation,Economy & Public Finance,
labour's role in anti-inflation program,Economy & Public Finance,
CLC representation on government boards,Government & Electoral Affairs,
Canadian Labour Congress withdrawal from federal boards,Government & Electoral Affairs,
Irving company and labour relations,"Justice, Rights & Immigration",
pulp and paper workers strike,"Sectoral Policy: Resources, Agriculture & Transport",
pulp and paper strike labour board,"Sectoral Policy: Resources, Agriculture & Transport",
special committee on members' rights and immunities,Parliamentary Procedure,
delay rail passenger policy implementation,"Sectoral Policy: Resources, Agriculture & Transport",
parliamentary relations and nicknames,Parliamentary Procedure,
parliamentary education of Pierre Trudeau,Parliamentary Procedure,
thanks to parliamentary staff and colleagues,Parliamentary Procedure,
hostage taking at B.C. penitentiary,"Justice, Rights & Immigration",
Anti-Inflation Board decision appeals,Economy & Public Finance,
federal role in fluid milk pricing,"Sectoral Policy: Resources, Agriculture & Transport",
skim milk powder consumption and pricing,"Sectoral Policy: Resources, Agriculture & Transport",
maximum security correctional institutions,"Justice, Rights & Immigration",
regional development and anti-inflation program,Economy & Public Finance,
New Brunswick egg marketing agency quota,"Sectoral Policy: Resources, Agriculture & Transport",
airport traffic and criminal charges,"Justice, Rights & Immigration",
air traffic control loss of separation incidents,"Sectoral Policy: Resources, Agriculture & Transport",
car rental policy at airports,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian citizens detained in Cuba,Trade & Foreign Affairs,
export permits for Buffalo Aircraft to Zaire,Trade & Foreign Affairs,
parliamentary etiquette and House leaders discussions,Parliamentary Procedure,
